time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,la_name,old_la_code,school_type,sen,present_sessions,approved_educational_activity,overall_attendance,overall_absence,authorised_absence,unauthorised_absence,late_sessions,possible_sessions,reason_present_am,reason_present_pm,reason_present,reason_l_present_late_before_registers_closed,reason_i_authorised_illness,reason_m_authorised_medical_dental,reason_r_authorised_religious_observance,reason_s_authorised_study_leave,reason_t_authorised_grt_absence,reason_h_authorised_holiday,reason_e_authorised_excluded,reason_c_authorised_other,reason_b_aea_education_off_site,reason_d_aea_dual_registration,reason_j_aea_interview,reason_p_aea_approved_sporting_activity,reason_v_aea_educational_visit_trip,reason_w_aea_work_experience,reason_g_unauthorised_holiday,reason_u_unauthorised_late_after_registers_closed,reason_o_other_unauthorised,reason_n_no_reason_yet,reason_x_not_attending_covid_non_compulsory,attendance_perc,overall_absence_perc,authorised_absence_perc,unauthorised_absence_perc,illness_perc,appointments_perc,unauth_hol_perc,unauth_oth_perc,unauth_late_registers_closed_perc,unauth_not_yet_perc,auth_religious_perc,auth_study_perc,auth_grt_perc,auth_holiday_perc,auth_excluded_perc,auth_other_perc,covid_non_compulsory_perc,pa_perc,academic_year
202223,Autumn term,Local authority,E92000001,England,E12000007,London,E09000018,Hounslow,313,Secondary,SEN support,104932,1496,106428,14216,9120,5096,5665,120644,48290,51437,99727,5205,6864,808,9,0,73,26,499,834,1089,546,17,14,310,66,285,460,4306,45,7,88.21657107,11.78342893,7.559431053,4.223997878,5.68946653,0.669739067,0.23623222,3.569178741,0.381287093,0.037299824,0.007459965,0,0.060508604,0.02155101,0.413613607,0.691290077,0.005802195,39.33787731,202223
202223,Autumn term,Local authority,E92000001,England,E12000001,North East,E06000005,Darlington,841,Special,EHC plan,33486,566,34052,3366,1530,1836,347,37418,16516,16690,33206,280,1184,280,0,0,0,0,0,64,373,0,0,0,193,0,208,67,1561,0,2,91.00432947,8.995670533,4.088941151,4.906729382,3.164252499,0.748302956,0.555882196,4.171788979,0.179058207,0,0,0,0,0,0,0.171040676,0.005345021,24.41471572,202223
202223,Autumn term,Local authority,E92000001,England,E12000009,South West,E06000022,Bath and North East Somerset,800,Special,EHC plan,29486,446,29932,5778,4368,1410,290,35710,14611,14715,29326,160,2805,309,0,0,0,233,308,713,411,0,0,0,11,24,86,130,1129,65,0,83.81965836,16.18034164,12.23186782,3.948473817,7.854942593,0.865303836,0.240828899,3.16157939,0.364043685,0.182021843,0,0,0,0.652478297,0.8625035,1.996639597,0,48.42105263,202223
202223,Autumn term,Local authority,E92000001,England,E12000004,East Midlands,E06000018,Nottingham,892,Secondary,EHC plan,10503,637,11140,2635,1264,1371,484,13775,4887,5204,10091,412,510,81,0,0,0,10,218,445,593,873,2,0,42,0,48,72,1222,29,0,80.87114338,19.12885662,9.176043557,9.952813067,3.702359347,0.588021779,0.34845735,8.871143376,0.522686025,0.210526316,0,0,0,0.072595281,1.582577132,3.230490018,0,51.2605042,202223
202223,Autumn term,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000018,Rotherham,372,Primary,SEN support,401183,3422,404605,37716,25502,12214,7830,442321,194190,199813,394003,7180,21061,1610,1,0,0,102,576,2151,745,696,0,80,2597,0,4032,650,7346,186,0,91.47316089,8.526839106,5.765496099,2.761343007,4.761474133,0.363989049,0.911555183,1.660784815,0.1469521,0.042050909,0.00022608,0,0,0.023060176,0.130222169,0.486298412,0,29.49360045,202223
202223,Autumn term,Local authority,E92000001,England,E12000004,East Midlands,E10000019,Lincolnshire,925,Special,EHC plan,181402,1550,182952,27784,22262,5522,474,210736,91527,89547,181074,328,12808,2066,2,0,0,481,425,6468,1159,300,0,28,363,0,500,146,4855,21,12,86.81573153,13.18426847,10.56392833,2.620340141,6.077746564,0.980373548,0.237263685,2.303830385,0.069280996,0.009965075,0.000949055,0,0,0.228247665,0.201674133,3.069243034,0.005694328,39.20421299,202223
202223,Autumn term,Local authority,E92000001,England,E12000007,London,E09000032,Wandsworth,212,Secondary,No SEN,512489,12375,524864,42239,28536,13703,12632,567103,247712,253066,500778,11711,24140,1968,12,0,4,50,342,2020,4969,1489,109,849,6448,0,1015,921,8948,2819,0,92.55179394,7.448206058,5.03189015,2.416315907,4.256722324,0.347026907,0.178979833,1.577843884,0.16240436,0.497087831,0.002116018,0,0.000705339,0.008816741,0.060306505,0.356196317,0,23.17725037,202223
202223,Autumn term,Local authority,E92000001,England,E12000007,London,E09000024,Merton,315,Primary,No SEN,1199457,10996,1210453,73772,59586,14186,14462,1284225,588239,597859,1186098,13359,53032,2409,69,0,0,798,11,3113,2224,227,295,1677,6800,0,3771,1103,8721,591,154,94.25552376,5.744476241,4.639841149,1.104635091,4.129494442,0.187583951,0.293640133,0.679086609,0.085888376,0.046019973,0.00537289,0,0,0.062138644,0.000856548,0.242403006,0.011991668,18.81777181,202223
202223,Autumn term,Local authority,E92000001,England,E12000005,West Midlands,E10000034,Worcestershire,885,Special,No SEN,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,202223
202223,Autumn term,Local authority,E92000001,England,E12000007,London,E09000006,Bromley,305,Primary,No SEN,1487785,9644,1497429,89431,74025,15406,16551,1586860,729516,742977,1472493,15292,65589,3402,65,46,188,838,0,3875,1854,134,928,885,5977,0,4502,1259,8642,1003,22,94.36427914,5.635720858,4.664872768,0.97084809,4.133256872,0.214385642,0.283704927,0.544597507,0.079339072,0.063206584,0.00409614,0.002898806,0.011847296,0.052808691,0,0.244192934,0.001386386,19.15574964,202223
