time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,la_name,old_la_code,school_type,sen,present_sessions,approved_educational_activity,overall_attendance,overall_absence,authorised_absence,unauthorised_absence,late_sessions,possible_sessions,reason_present_am,reason_present_pm,reason_present,reason_l_present_late_before_registers_closed,reason_i_authorised_illness,reason_m_authorised_medical_dental,reason_r_authorised_religious_observance,reason_s_authorised_study_leave,reason_t_authorised_grt_absence,reason_h_authorised_holiday,reason_e_authorised_excluded,reason_c_authorised_other,reason_b_aea_education_off_site,reason_d_aea_dual_registration,reason_j_aea_interview,reason_p_aea_approved_sporting_activity,reason_v_aea_educational_visit_trip,reason_w_aea_work_experience,reason_g_unauthorised_holiday,reason_u_unauthorised_late_after_registers_closed,reason_o_other_unauthorised,reason_n_no_reason_yet,reason_x_not_attending_covid_non_compulsory,attendance_perc,overall_absence_perc,authorised_absence_perc,unauthorised_absence_perc,illness_perc,appointments_perc,unauth_hol_perc,unauth_oth_perc,unauth_late_registers_closed_perc,unauth_not_yet_perc,auth_religious_perc,auth_study_perc,auth_grt_perc,auth_holiday_perc,auth_excluded_perc,auth_other_perc,covid_non_compulsory_perc,pa_perc,academic_year
202223,Summer term,Local authority,E92000001,England,E12000008,South East,E10000016,Kent,886,Primary,No SEN,8833376,174674,9008050,488401,312835,175566,84983,9496451,4363615,4397211,8760826,72550,240650,22803,9504,0,1323,7012,700,30583,21113,602,1667,11053,140840,1,80722,12433,75800,6611,257,94.85701553,5.142984469,3.294230655,1.848753813,2.534104583,0.240121283,0.850022814,0.798192925,0.130922594,0.069615481,0.100079493,0,0.01393152,0.073838111,0.007371175,0.322046626,0.002706274,15.85715149,202223
202223,Summer term,Local authority,E92000001,England,E12000002,North West,E08000003,Manchester,352,Secondary,SEN support,348257,10764,359021,68834,27814,41020,27423,427855,155352,170316,325668,22589,13179,1708,2748,1160,104,46,4318,4542,3775,7913,32,355,4189,2413,2802,4834,30553,2831,9,83.91183929,16.08816071,6.500800505,9.587360204,3.08024915,0.399200664,0.654894766,7.140970656,1.129822019,0.661672763,0.642273667,0.271119889,0.0243073,0.010751306,1.009220413,1.061574599,0.002103516,43.62639981,202223
202223,Summer term,Local authority,E92000001,England,E12000007,London,E09000007,Camden,202,Primary,SEN support,136058,4279,140337,12300,8752,3548,3895,152637,64602,67865,132467,3591,5350,662,1755,0,0,111,14,794,1369,278,13,507,2390,0,929,304,2153,162,66,91.94166552,8.05833448,5.733865314,2.324469165,3.505047924,0.433708734,0.608633555,1.410536109,0.19916534,0.106134161,1.149786749,0,0,0.072721555,0.009172088,0.520188421,0.043239844,28.98113208,202223
202223,Summer term,Local authority,E92000001,England,E12000005,West Midlands,E08000029,Solihull,334,Secondary,SEN support,161577,4271,165848,32644,19194,13450,10555,198492,74200,78010,152210,9367,10026,1161,322,1281,0,78,2223,4078,1620,4695,23,168,1520,940,1130,1188,10497,635,25,83.55399714,16.44600286,9.66991113,6.776091732,5.051085182,0.584910223,0.569292465,5.288374343,0.598512786,0.319912138,0.162223163,0.64536606,0,0.039296294,1.119944381,2.054490861,0.012594966,46.07274644,202223
202223,Summer term,Local authority,E92000001,England,E12000009,South West,E06000054,Wiltshire,865,Primary,SEN support,519628,12464,532092,37170,26435,10735,6934,569262,256064,258013,514077,5551,17397,2032,156,1,421,715,555,5149,3856,178,248,587,7773,0,3874,1383,4918,560,9,93.47049338,6.529506624,4.643731709,1.885774916,3.056062059,0.356953389,0.68053023,0.863925574,0.24294613,0.098372981,0.027403902,0.000175666,0.073955402,0.125601217,0.097494651,0.904504429,0.001580994,21.08484593,202223
202223,Summer term,Local authority,E92000001,England,E12000006,East of England,E10000020,Norfolk,926,Primary,No SEN,4264567,98944,4363511,246003,153677,92326,35569,4609514,2119946,2115342,4235288,29279,120452,9428,2193,0,1030,4889,761,13564,21519,778,154,6656,70614,1,56706,6290,27547,1783,1357,94.6631467,5.3368533,3.333908954,2.002944345,2.613117131,0.204533493,1.230194767,0.597611809,0.136456902,0.038680867,0.047575514,0,0.022345089,0.106063242,0.016509333,0.294260957,0.029439112,17.53193191,202223
202223,Summer term,Local authority,E92000001,England,E12000004,East Midlands,E10000018,Leicestershire,855,Secondary,SEN support,378609,18103,396712,75438,43240,32198,16705,472150,179076,184173,363249,15360,24194,3075,345,1013,178,118,2946,11369,8412,2938,53,680,6689,2269,2199,1345,27288,1366,2,84.02245049,15.97754951,9.158106534,6.819442974,5.124218998,0.651276078,0.465741819,5.779519221,0.284867097,0.289314836,0.073069999,0.214550461,0.037699884,0.024992058,0.623954252,2.407921211,0.000423594,41.50020383,202223
202223,Summer term,Local authority,E92000001,England,E12000002,North West,E06000009,Blackpool,890,Primary,SEN support,180291,2423,182714,14718,6586,8132,4966,197432,90499,85852,176351,3940,4534,711,50,0,62,62,374,731,351,772,0,209,1863,0,1895,1026,5059,152,62,92.54528141,7.454718587,3.335832084,4.118886503,2.296486892,0.360123992,0.959824142,2.562401232,0.519672596,0.076988533,0.025325175,0,0.031403217,0.031403217,0.189432311,0.370254062,0.031403217,26.07746863,202223
202223,Summer term,Local authority,E92000001,England,E12000008,South East,E10000025,Oxfordshire,931,Primary,No SEN,3756365,65960,3822325,186946,132310,54636,29644,4009271,1863157,1868009,3731166,25199,97937,9526,7920,1,694,3411,125,12539,11505,383,1203,3585,49667,0,29666,4445,17830,2695,145,95.3371573,4.662842696,3.30010119,1.362741506,2.442763285,0.237599304,0.739935016,0.444719252,0.110868036,0.067219203,0.197542147,2.49E-05,0.01730988,0.085077811,0.003117774,0.312750123,0.003616618,13.79099257,202223
202223,Summer term,Local authority,E92000001,England,E12000007,London,E09000017,Hillingdon,312,Secondary,SEN support,145130,7341,152471,24749,15053,9696,6836,177220,68640,70329,138969,6161,9482,1072,602,714,30,52,1012,1861,3368,186,17,1152,2062,742,633,675,7600,788,228,86.03487191,13.96512809,8.493962307,5.471165783,5.350411917,0.604897867,0.357183162,4.288455028,0.380882519,0.444645074,0.33969078,0.402889064,0.016928112,0.029342061,0.571041643,1.050107211,0.128653651,42.01585504,202223
