time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,la_name,old_la_code,school_type,gender,present_sessions,approved_educational_activity,overall_attendance,overall_absence,authorised_absence,unauthorised_absence,late_sessions,possible_sessions,reason_present_am,reason_present_pm,reason_present,reason_l_present_late_before_registers_closed,reason_i_authorised_illness,reason_m_authorised_medical_dental,reason_r_authorised_religious_observance,reason_s_authorised_study_leave,reason_t_authorised_grt_absence,reason_h_authorised_holiday,reason_e_authorised_excluded,reason_c_authorised_other,reason_b_aea_education_off_site,reason_d_aea_dual_registration,reason_j_aea_interview,reason_p_aea_approved_sporting_activity,reason_v_aea_educational_visit_trip,reason_w_aea_work_experience,reason_g_unauthorised_holiday,reason_u_unauthorised_late_after_registers_closed,reason_o_other_unauthorised,reason_n_no_reason_yet,reason_x_not_attending_covid_non_compulsory,attendance_perc,overall_absence_perc,authorised_absence_perc,unauthorised_absence_perc,illness_perc,appointments_perc,unauth_hol_perc,unauth_oth_perc,unauth_late_registers_closed_perc,unauth_not_yet_perc,auth_religious_perc,auth_study_perc,auth_grt_perc,auth_holiday_perc,auth_excluded_perc,auth_other_perc,covid_non_compulsory_perc,pa_perc,academic_year
202223,Summer term,Local authority,E92000001,England,E12000001,North East,E08000023,South Tyneside,393,Special,Female,17256,239,17495,1391,1092,299,61,18886,8585,8610,17195,61,671,211,10,18,0,48,0,134,129,0,0,15,95,0,177,0,122,0,0,92.6347559,7.365244096,5.782060786,1.58318331,3.552896325,1.117229694,0.93720216,0.64598115,0,0,0.052949275,0.095308694,0,0.254156518,0,0.70952028,0,25.92592593,202223
202223,Summer term,Local authority,E92000001,England,E12000009,South West,E06000054,Wiltshire,865,Secondary,Male,730836,29288,760124,75263,45047,30216,22573,835387,356271,354502,710773,20063,26590,3447,246,3121,63,342,2511,8704,6467,3190,130,2112,13769,6810,3318,2510,22573,1815,23,90.99064266,9.00935734,5.39235109,3.61700625,3.182955923,0.412623132,0.397181187,2.702100942,0.300459547,0.217264573,0.02944743,0.373599302,0.007541415,0.04093911,0.300579252,1.041912311,0.002753215,25.74134064,202223
202223,Summer term,Local authority,E92000001,England,E12000007,London,E09000015,Harrow,310,Special,Male,27865,357,28222,3787,3384,403,184,32009,13747,13954,27701,164,1538,330,259,0,0,188,19,1050,84,0,0,110,163,0,88,20,275,20,0,88.16895248,11.83104752,10.57202662,1.2590209,4.804898622,1.030960042,0.274922678,0.859133369,0.062482427,0.062482427,0.809147427,0,0,0.587334812,0.059358305,3.280327408,0,33.91608392,202223
202223,Summer term,Local authority,E92000001,England,E12000008,South East,E10000032,West Sussex,938,Secondary,Female,1664364,79986,1744350,184836,117810,67026,60957,1929186,774701,832660,1607361,57003,78738,8950,2445,4594,603,573,3839,17988,24757,7312,1151,6162,35095,12821,9300,3954,50738,3034,76,90.41896427,9.581035732,6.106720658,3.474315074,4.081410502,0.463926236,0.482068603,2.630021159,0.204956909,0.157268402,0.126737391,0.238131523,0.031256706,0.029701646,0.198995846,0.932413982,0.003939485,29.70929613,202223
202223,Summer term,Regional,E92000001,England,E12000008,South East,,,,Secondary,Unknown,588,13,601,118,91,27,61,719,250,279,529,59,38,2,0,0,0,0,0,51,0,0,0,0,3,10,10,2,15,0,0,83.58831711,16.41168289,12.65646732,3.755215577,5.28511822,0.278164117,1.390820584,2.086230876,0.278164117,0,0,0,0,0,0,7.093184979,0,57.14285714,202223
202223,Summer term,Regional,E92000001,England,E12000007,London,,,,Primary,Unknown,563,11,574,15,14,1,2,589,285,276,561,2,7,3,0,0,4,0,0,0,4,0,0,0,7,0,0,0,1,0,0,97.4533107,2.546689304,2.376910017,0.169779287,1.188455008,0.509337861,0,0.169779287,0,0,0,0,0.679117148,0,0,0,0,0,202223
202223,Summer term,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Primary,Unknown,28,0,28,11,11,0,1,39,13,14,27,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.79487179,28.20512821,28.20512821,0,28.20512821,0,0,0,0,0,0,0,0,0,0,0,0,100,202223
202223,Summer term,Regional,E92000001,England,E12000007,London,,,,Special,Male,907366,27593,934959,138046,100078,37968,18739,1073005,440589,451168,891757,15609,47708,11292,6259,592,57,5194,1392,27386,18314,2272,115,626,7575,963,4330,3130,28882,1626,198,87.13463591,12.86536409,9.326890369,3.538473726,4.446204817,1.052371611,0.403539592,2.691692956,0.291704139,0.151537039,0.583315082,0.055172157,0.005312184,0.484061118,0.129729125,2.552271425,0.01845285,37.9841011,202223
202223,Summer term,Regional,E92000001,England,E12000002,North West,,,,Special,Male,1183125,35451,1218576,181592,120735,60857,11722,1400168,587697,586649,1174346,8779,55897,11666,4207,891,2,7483,2578,37743,20362,1569,53,990,12580,1466,8940,2943,47050,1924,268,87.03069917,12.96930083,8.622893824,4.346407003,3.992163797,0.833185732,0.638494809,3.360311048,0.210189063,0.137412082,0.300463944,0.063635221,0.00014284,0.534435868,0.184120763,2.695605099,0.01914056,36.05057008,202223
202223,Summer term,Regional,E92000001,England,E12000002,North West,,,,Secondary,Male,16710981,544241,17255222,1876814,1001133,875681,730145,19132036,7949621,8084642,16034263,676718,607457,64439,64223,39595,943,7552,79021,132898,109569,122520,2774,44985,252404,134509,138285,53427,630920,53049,4566,90.19020244,9.809797556,5.232757245,4.577040311,3.175077655,0.336812036,0.722792911,3.29771489,0.279254126,0.277278383,0.33568304,0.206956541,0.004928906,0.03947306,0.413029748,0.69463595,0.02386573,30.41355452,202223
