time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,la_name,old_la_code,school_type,sen,present_sessions,approved_educational_activity,overall_attendance,overall_absence,authorised_absence,unauthorised_absence,late_sessions,possible_sessions,reason_present_am,reason_present_pm,reason_present,reason_l_present_late_before_registers_closed,reason_i_authorised_illness,reason_m_authorised_medical_dental,reason_r_authorised_religious_observance,reason_s_authorised_study_leave,reason_t_authorised_grt_absence,reason_h_authorised_holiday,reason_e_authorised_excluded,reason_c_authorised_other,reason_b_aea_education_off_site,reason_d_aea_dual_registration,reason_j_aea_interview,reason_p_aea_approved_sporting_activity,reason_v_aea_educational_visit_trip,reason_w_aea_work_experience,reason_g_unauthorised_holiday,reason_u_unauthorised_late_after_registers_closed,reason_o_other_unauthorised,reason_n_no_reason_yet,reason_x_not_attending_covid_non_compulsory,attendance_perc,overall_absence_perc,authorised_absence_perc,unauthorised_absence_perc,illness_perc,appointments_perc,unauth_hol_perc,unauth_oth_perc,unauth_late_registers_closed_perc,unauth_not_yet_perc,auth_religious_perc,auth_study_perc,auth_grt_perc,auth_holiday_perc,auth_excluded_perc,auth_other_perc,covid_non_compulsory_perc,pa_perc,academic_year
202223,Spring term,Local authority,E92000001,England,E12000001,North East,E08000023,South Tyneside,393,Secondary,EHC plan,11079,869,11948,1510,1072,438,287,13458,5318,5486,10804,275,539,44,2,0,0,8,144,335,764,132,3,4,92,6,8,12,418,0,0,88.77990786,11.22009214,7.965522366,3.254569773,4.005052757,0.326943082,0.059444197,3.105959281,0.089166295,0,0.014861049,0,0,0.059444197,1.069995542,2.489225739,0,27.6119403,202223
202223,Spring term,Local authority,E92000001,England,E12000008,South East,E06000035,Medway,887,Primary,EHC plan,49219,829,50048,6440,4475,1965,821,56488,24149,24429,48578,641,2253,368,6,0,0,36,305,1496,656,215,18,28,127,0,148,180,1604,33,11,88.59934853,11.40065147,7.922036539,3.478614927,3.988457726,0.651465798,0.262002549,2.839541141,0.318651749,0.058419487,0.010621725,0,0,0.06373035,0.539937686,2.648350092,0.019473162,30.67961165,202223
202223,Spring term,Local authority,E92000001,England,E12000006,East of England,E10000029,Suffolk,935,Primary,No SEN,3915616,21762,3937378,220267,178717,41550,33890,4157645,1933861,1955132,3888993,26623,158435,8030,104,3,291,2849,268,8684,969,131,46,4199,16548,0,12130,7267,20646,1507,53,94.70212103,5.297878968,4.298515145,0.999363823,3.810690908,0.193138183,0.291751701,0.496579193,0.174786448,0.036246481,0.002501416,7.22E-05,0.006999155,0.068524369,0.006445957,0.208868242,0.00127476,16.69685186,202223
202223,Spring term,Local authority,E92000001,England,E12000006,East of England,E10000020,Norfolk,926,Special,EHC plan,103375,3414,106789,15268,12059,3209,885,122057,51351,51368,102719,656,7120,1163,0,0,44,373,231,3128,2701,0,0,83,539,91,129,229,2835,16,0,87.49109023,12.50890977,9.879810253,2.629099519,5.833340161,0.952833512,0.105688326,2.322685303,0.187617261,0.01310863,0,0,0.036048731,0.305594927,0.189255839,2.562737082,0,37.41134752,202223
202223,Spring term,Local authority,E92000001,England,E12000007,London,E09000029,Sutton,319,Special,SEN support,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,202223
202223,Spring term,Local authority,E92000001,England,E12000002,North West,E06000049,Cheshire East,895,Secondary,SEN support,152223,3667,155890,29003,18577,10426,7168,184893,69777,76310,146087,6136,12134,1202,8,3,1,36,1335,3858,2718,1331,18,140,650,141,202,1032,8687,505,0,84.31363005,15.68636995,10.04743284,5.638937115,6.562714651,0.650105737,0.109252378,4.698393125,0.558160666,0.273130946,0.004326827,0.00162256,0.000540853,0.019470721,0.722039234,2.086612257,0,39.80855856,202223
202223,Spring term,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000019,Sheffield,373,Special,SEN support,1960,2,1962,2363,2128,235,38,4325,917,1005,1922,38,438,60,0,0,0,4,0,1626,0,1113,0,0,2,0,3,0,230,2,0,45.36416185,54.63583815,49.20231214,5.433526012,10.12716763,1.387283237,0.069364162,5.317919075,0,0.046242775,0,0,0,0.092485549,0,37.59537572,0,68.75,202223
202223,Spring term,Local authority,E92000001,England,E12000007,London,E09000023,Lewisham,209,Secondary,No SEN,767533,13433,780966,61029,24759,36270,34983,841995,355643,379641,735284,32249,17885,1840,15,2,1,167,1591,3252,2173,3085,237,519,6038,4466,2523,2734,29900,1113,6,92.7518572,7.248142804,2.940516274,4.30762653,2.124121877,0.218528614,0.299645485,3.551089971,0.324705016,0.132186058,0.001781483,0.000237531,0.000118766,0.019833847,0.188955991,0.386225571,0.000712593,22.00938729,202223
202223,Spring term,Local authority,E92000001,England,E12000009,South West,E06000052,Cornwall,908,Special,SEN support,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,202223
202223,Spring term,Local authority,E92000001,England,E12000007,London,E09000016,Havering,311,Primary,EHC plan,46486,379,46865,4304,3575,729,1178,51169,22267,23083,45350,1136,2307,255,2,0,0,14,103,894,243,0,1,22,113,0,92,42,533,62,0,91.58865719,8.411342805,6.986652074,1.424690731,4.508589185,0.49834861,0.179796361,1.041646309,0.082080947,0.121167113,0.003908617,0,0,0.027360316,0.201293752,1.747151596,0,26.35983264,202223
202223,Spring term,Local authority,E92000001,England,E12000005,West Midlands,E08000026,Coventry,331,Secondary,SEN support,241231,3444,244675,38805,21630,17175,13823,283480,110975,117127,228102,13129,13750,1182,2,0,1,26,1274,5394,2045,3083,63,44,813,479,534,694,15609,338,1,86.31120361,13.68879639,7.630167913,6.058628475,4.850430365,0.416960632,0.188373077,5.506208551,0.244814449,0.119232397,0.000705517,0,0.000352759,0.009171723,0.449414421,1.902779738,0.000352759,35.79650947,202223
202223,Spring term,Local authority,E92000001,England,E12000007,London,E09000002,Barking and Dagenham,301,Primary,EHC plan,51005,698,51703,5317,3887,1430,1312,57020,24412,25417,49829,1176,2961,340,0,0,0,22,51,477,527,162,0,22,149,0,210,136,1082,2,36,90.67520168,9.324798316,6.816906349,2.507891968,5.192914767,0.596282006,0.368291827,1.897579797,0.238512803,0.003507541,0,0,0,0.038582953,0.089442301,0.836548579,0.063135742,31.56934307,202223
202223,Spring term,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,382,Primary,SEN support,418639,2533,421172,32413,23562,8851,7781,453585,203279,208811,412090,6549,18816,1697,6,0,0,114,533,2393,325,638,2,386,1820,0,2412,1232,5111,96,3,92.85404059,7.145959412,5.194616224,1.951343188,4.148285327,0.374130538,0.531763617,1.12680093,0.27161392,0.021164721,0.001322795,0,0,0.025133106,0.117508295,0.527574765,0.000661398,22.63295969,202223
202223,Spring term,Local authority,E92000001,England,E12000001,North East,E08000021,Newcastle upon Tyne,391,Primary,EHC plan,42274,353,42627,4098,3053,1045,1220,46725,20097,20995,41092,1182,1905,254,0,0,0,0,70,822,225,421,0,1,127,0,225,38,625,157,2,91.22953451,8.77046549,6.533975388,2.236490102,4.077046549,0.543606207,0.481540931,1.337613697,0.081326913,0.336008561,0,0,0,0,0.149812734,1.759229535,0.004280364,27.1714922,202223
202223,Spring term,Local authority,E92000001,England,E12000007,London,E09000015,Harrow,310,Primary,EHC plan,50639,555,51194,4748,3931,817,1365,55942,24280,25046,49326,1313,3049,401,2,0,0,16,38,425,209,261,6,8,332,0,122,52,453,190,0,91.51263809,8.487361911,7.026920739,1.460441171,5.450287798,0.716813843,0.218083015,0.809767259,0.092953416,0.339637482,0.003575131,0,0,0.028601051,0.067927496,0.75971542,0,29.41176471,202223
202223,Spring term,Local authority,E92000001,England,E12000009,South West,E06000054,Wiltshire,865,Primary,EHC plan,121833,4760,126593,13892,11344,2548,1875,140485,59989,60326,120315,1518,6480,868,2,0,14,102,268,3610,4174,0,1,60,525,0,271,357,1648,272,0,90.11139979,9.888600206,8.07488344,1.813716767,4.612592092,0.617859558,0.192903157,1.173078976,0.254119657,0.193614977,0.00142364,0,0.009965477,0.072605616,0.190767698,2.56966936,0,28.85802469,202223
202223,Spring term,Local authority,E92000001,England,E12000008,South East,E10000014,Hampshire,850,Primary,SEN support,1109616,10167,1119783,81005,65105,15900,17291,1200788,542052,553873,1095925,13691,52085,4179,37,0,329,728,737,7008,2336,309,13,616,7201,1,2461,3600,9141,698,2,93.2540132,6.745986802,5.421856314,1.324130488,4.33756833,0.348021466,0.20494875,0.761250112,0.299803129,0.058128496,0.00308131,0,0.027398675,0.060626855,0.061376363,0.583616758,0.000166557,21.67533432,202223
202223,Spring term,Local authority,E92000001,England,E12000004,East Midlands,E10000018,Leicestershire,855,Secondary,SEN support,433161,11707,444868,69703,43902,25801,19987,514571,202546,211996,414542,18619,28452,3109,33,1,58,16,3064,9163,8756,2701,119,323,1960,549,561,1368,22958,914,6,86.45415307,13.54584693,8.531767239,5.01407969,5.529266127,0.604192619,0.109022856,4.461580618,0.265852526,0.17762369,0.006413109,0.000194337,0.011271525,0.003109386,0.59544747,1.780706647,0.00116602,35.17369727,202223
202223,Spring term,Local authority,E92000001,England,E12000006,East of England,E10000003,Cambridgeshire,873,Special,No SEN,82,0,82,2,2,0,0,84,41,41,82,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,97.61904762,2.380952381,2.380952381,0,0,0,0,0,0,0,0,0,0,0,2.380952381,0,0,0,202223
202223,Spring term,Local authority,E92000001,England,E12000004,East Midlands,E06000062,West Northamptonshire,941,Primary,EHC plan,76874,717,77591,8669,7245,1424,1516,86260,37627,37941,75568,1306,4198,616,6,0,0,10,150,2265,403,0,1,33,280,0,149,210,966,99,0,89.95015071,10.04984929,8.3990262,1.650823093,4.866682124,0.714120102,0.172733596,1.11987016,0.243450035,0.114769302,0.006955715,0,0,0.011592859,0.173892882,2.625782518,0,29.92518703,202223
202223,Spring term,Regional,E92000001,England,E12000008,South East,,,,Special,No SEN,18141,73,18214,1896,1566,330,191,20110,8930,9156,18086,55,877,231,0,0,0,4,0,454,56,0,0,0,17,0,2,136,192,0,0,90.5718548,9.428145201,7.787170562,1.640974639,4.361014421,1.148682248,0.009945301,0.954748881,0.676280457,0,0,0,0,0.019890602,0,2.257583292,0,29.72972973,202223
202223,Spring term,Regional,E92000001,England,E12000008,South East,,,,Secondary,No SEN,33692513,372198,34064711,2781605,1879164,902441,1193271,36846316,16039421,16527944,32567365,1125148,1467496,129680,1634,3100,1643,8616,63552,201827,115458,115673,12884,39672,157645,46539,67328,68123,735747,31243,1574,92.4507921,7.549207905,5.100005113,2.449202791,3.982748235,0.351948347,0.182726544,1.996799354,0.184884155,0.084792737,0.004434636,0.008413324,0.004459062,0.023383613,0.172478573,0.547753539,0.004271797,22.09693063,202223
