time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,la_name,old_la_code,school_type,disadvantage_code,present_sessions,approved_educational_activity,overall_attendance,overall_absence,authorised_absence,unauthorised_absence,late_sessions,possible_sessions,reason_present_am,reason_present_pm,reason_present,reason_l_present_late_before_registers_closed,reason_i_authorised_illness,reason_m_authorised_medical_dental,reason_r_authorised_religious_observance,reason_s_authorised_study_leave,reason_t_authorised_grt_absence,reason_h_authorised_holiday,reason_e_authorised_excluded,reason_c_authorised_other,reason_b_aea_education_off_site,reason_d_aea_dual_registration,reason_j_aea_interview,reason_p_aea_approved_sporting_activity,reason_v_aea_educational_visit_trip,reason_w_aea_work_experience,reason_g_unauthorised_holiday,reason_u_unauthorised_late_after_registers_closed,reason_o_other_unauthorised,reason_n_no_reason_yet,reason_x_not_attending_covid_non_compulsory,attendance_perc,overall_absence_perc,authorised_absence_perc,unauthorised_absence_perc,illness_perc,appointments_perc,unauth_hol_perc,unauth_oth_perc,unauth_late_registers_closed_perc,unauth_not_yet_perc,auth_religious_perc,auth_study_perc,auth_grt_perc,auth_holiday_perc,auth_excluded_perc,auth_other_perc,covid_non_compulsory_perc,pa_perc,academic_year
202223,Spring term,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Special,FSM Not eligible,460925,10676,471601,62209,49666,12543,3403,533810,229305,228724,458029,2896,28604,5571,21,1,20,1059,327,14063,9478,2271,34,52,1022,90,1454,507,10340,242,0,88.34622806,11.65377194,9.304059497,2.349712445,5.358460876,1.043629756,0.272381559,1.937018789,0.094977614,0.045334482,0.003933984,0.000187333,0.003746651,0.198385193,0.061257751,2.634457953,0,30.52694136,202223
202223,Spring term,Regional,E92000001,England,E12000007,London,,,,Secondary,FSM Not eligible,23251261,344352,23595613,1672346,1080914,591432,727221,25267959,11208641,11357973,22566614,684647,847727,87458,1293,3766,560,4362,38736,96312,121789,73483,7947,29516,137164,47936,60654,42574,447395,40809,696,93.38155488,6.618445123,4.277804947,2.340640176,3.354948455,0.346122138,0.240043131,1.77060205,0.168490063,0.161504932,0.005117153,0.014904251,0.002216245,0.017262969,0.153300866,0.381162562,0.002754477,19.57694896,202223
202223,Spring term,Regional,E92000001,England,E12000006,East of England,,,,Primary,FSM eligible,8316781,62136,8378917,798754,560763,237991,203975,9177671,3995008,4156982,8151990,164791,451477,28589,281,3,3789,3521,8401,63431,16519,12539,75,6393,39147,2,25550,39184,167253,6004,1267,91.29676799,8.703232007,6.110079562,2.593152446,4.919298153,0.311506045,0.278393069,1.822390452,0.426949277,0.065419647,0.003061779,3.27E-05,0.041284984,0.038364853,0.091537385,0.691144845,0.013805245,30.48783347,202223
202223,Spring term,Regional,E92000001,England,E12000006,East of England,,,,Secondary,FSM Not eligible,22402388,262144,22664532,1720834,1256812,464022,672109,24385366,10921414,10848167,21769581,632807,976428,89749,564,316,1127,4775,43447,140259,80874,51387,5411,32278,114078,29503,43292,39302,359986,21442,147,92.94316928,7.056830724,5.153959961,1.902870763,4.004155607,0.368044507,0.177532705,1.476237839,0.161170433,0.087929785,0.002312863,0.001295859,0.004621624,0.019581416,0.178168333,0.575176932,0.000602821,20.41730345,202223
202223,Spring term,Regional,E92000001,England,E12000002,North West,,,,Primary,FSM Not eligible,37937128,228045,38165173,1764210,1343671,420539,372886,39929383,18742978,18853889,37596867,340261,1143337,83658,1453,40,4065,18122,4411,87828,32829,13563,1584,26164,167455,13,187596,32625,186060,14258,757,95.58167478,4.418325222,3.365118364,1.053206858,2.863397614,0.209514883,0.469819431,0.46597264,0.081706747,0.03570804,0.003638924,0.000100177,0.010180473,0.045385124,0.011047003,0.21995832,0.001895847,12.46379712,202223
202223,Spring term,Regional,E92000001,England,E12000007,London,,,,Primary,FSM eligible,12211406,98278,12309684,1065393,683887,381506,366748,13375077,5781807,6098088,11879895,331511,567435,41262,795,21,735,4964,4427,62464,19629,11061,1755,5906,70987,1,54411,35237,278332,13526,1783,92.03449072,7.965509283,5.113144395,2.852364887,4.242480249,0.308499159,0.406808873,2.080974936,0.263452689,0.10112839,0.005943891,0.000157008,0.005495295,0.037113805,0.033098875,0.467017872,0.013330764,27.97556636,202223
202223,Spring term,Regional,E92000001,England,E12000002,North West,,,,Primary,FSM eligible,14095814,76482,14172296,1187077,749500,437577,416810,15359373,6732011,7004570,13736581,359233,624854,47524,527,6,1624,3832,6807,63895,18056,16781,222,5395,52792,17,61254,57577,303168,15578,431,92.27131863,7.728681373,4.879756485,2.848924888,4.068225962,0.309413672,0.398805342,1.973830572,0.374865563,0.101423411,0.00343113,3.91E-05,0.010573348,0.024948935,0.044318215,0.416000054,0.002806104,27.12973554,202223
202223,Spring term,Regional,E92000001,England,E12000004,East Midlands,,,,Special,FSM Not eligible,450814,6712,457526,60919,52432,8487,2870,518445,225678,222761,448439,2375,28179,5304,14,0,0,973,520,17426,4249,743,27,264,1832,340,1040,495,6898,54,14,88.24966969,11.75033031,10.11331964,1.637010676,5.435292075,1.023059341,0.200599871,1.33051722,0.095477823,0.010415763,0.002700383,0,0,0.18767661,0.100299935,3.361205142,0.002700383,32.48107998,202223
202223,Spring term,Regional,E92000001,England,E12000005,West Midlands,,,,Secondary,FSM Not eligible,22934660,246544,23181204,1769601,1174501,595100,677608,24950805,11118589,11175891,22294480,640180,920145,72629,829,106,593,4624,51443,123966,62002,120429,5931,15702,124500,38409,55220,37428,483494,18958,165,92.90763965,7.092360347,4.70726696,2.385093387,3.687836926,0.291088805,0.221315505,1.937789182,0.150007184,0.075981516,0.003322538,0.000424836,0.002376677,0.018532468,0.206177717,0.496841685,0.000661301,20.23929774,202223
202223,Spring term,Regional,E92000001,England,E12000001,North East,,,,Primary,FSM Not eligible,10839803,63398,10903201,493397,389865,103532,82709,11396598,5352068,5411000,10763068,76735,338957,22435,243,24,2380,5729,1006,18919,7034,10573,161,8475,47727,1,45309,5974,48250,3999,172,95.67066418,4.329335825,3.420889286,0.908446538,2.97419458,0.196856992,0.39756601,0.423371957,0.052419152,0.035089419,0.002132215,0.000210589,0.020883425,0.050269387,0.008827196,0.16600568,0.001509222,12.35630344,202223
202223,Spring term,National,E92000001,England,,,,,,Special,FSM Not eligible,5684487,112549,5797036,755630,611594,144036,55667,6552666,2827874,2811443,5639317,45170,357421,62688,267,113,249,15194,7446,168069,82480,10177,500,2277,23157,4135,14247,10497,114849,4443,141,88.46835776,11.53164224,9.333514023,2.198128212,5.454589018,0.956679312,0.217422954,1.752706456,0.160194339,0.067804463,0.004074677,0.001724489,0.00379998,0.231875087,0.113633138,2.56489496,0.002151796,32.15304609,202223
202223,Spring term,Local authority,E92000001,England,E12000001,North East,E06000002,Middlesbrough,806,Special,FSM eligible,29807,1237,31044,5700,3886,1814,292,36744,14757,14825,29582,225,1652,259,0,0,0,20,34,1921,1037,0,0,7,193,0,64,67,1683,0,0,84.48726323,15.51273677,10.57587633,4.93686044,4.495972132,0.704876987,0.174178097,4.580339647,0.182342695,0,0,0,0,0.054430655,0.092532114,5.228064446,0,38.22629969,202223
202223,Spring term,Local authority,E92000001,England,E12000005,West Midlands,E10000028,Staffordshire,860,Special,FSM Not eligible,112176,1918,114094,11472,9702,1770,1260,125566,55394,55706,111100,1076,6436,1210,2,0,0,130,72,1852,1467,0,11,33,317,90,80,184,1486,20,0,90.86376885,9.136231145,7.726613892,1.409617253,5.125591322,0.963636653,0.063711514,1.183441377,0.146536483,0.015927879,0.001592788,0,0,0.103531211,0.057340363,1.474921555,0,27.69911504,202223
202223,Spring term,Local authority,E92000001,England,E12000008,South East,E06000060,Buckinghamshire,825,Primary,FSM eligible,510997,3537,514534,50886,36801,14085,14354,565420,243628,255282,498910,12087,30847,1996,6,0,187,383,276,3104,194,1145,1,326,3016,0,2785,2267,8686,347,2,91.00031835,8.999681653,6.508613066,2.491068586,5.455590534,0.35301192,0.492554207,1.536203176,0.400940893,0.061370309,0.001061158,0,0.03307276,0.067737257,0.048813272,0.548972445,0.000353719,32.77000777,202223
202223,Spring term,Local authority,E92000001,England,E12000002,North West,E10000017,Lancashire,888,Secondary,FSM Not eligible,4088460,51342,4139802,298826,225954,72872,105235,4438628,1974812,2013351,3988163,100297,175573,16102,118,169,27,1146,9919,20056,10999,22379,666,5035,22617,12025,12967,4938,52044,2923,7,93.26760431,6.732395686,5.090627104,1.641768583,3.955569153,0.362769757,0.292139823,1.172524483,0.111250594,0.065853683,0.002658479,0.003807483,0.000608296,0.025818789,0.223469955,0.451851338,0.000157706,19.84518114,202223
202223,Spring term,Local authority,E92000001,England,E12000007,London,E09000006,Bromley,305,Primary,FSM Not eligible,1540423,11933,1552356,69815,57665,12150,15274,1622171,758158,768038,1526196,14227,48261,3842,38,1,237,514,224,4472,1883,274,282,1170,8598,0,4322,1047,6000,781,76,95.69619972,4.303800278,3.554804025,0.748996253,2.97508709,0.236843095,0.26643307,0.369874693,0.064543134,0.048145356,0.00234254,6.16E-05,0.01461005,0.031685932,0.013808655,0.275679938,0.004685079,11.73600759,202223
202223,Spring term,Local authority,E92000001,England,E12000006,East of England,E06000032,Luton,821,Primary,FSM Not eligible,1311102,6112,1317214,82272,59535,22737,10505,1399486,648153,653826,1301979,9123,52949,2709,16,1,0,251,148,3460,931,58,24,907,4250,0,9672,1382,10397,1286,1,94.12127024,5.878729762,4.254061848,1.624667914,3.783460499,0.193571068,0.691110879,0.742915613,0.098750541,0.09189088,0.001143277,7.15E-05,0,0.017935156,0.010575311,0.247233627,7.15E-05,19.05650113,202223
202223,Spring term,Local authority,E92000001,England,E12000001,North East,E08000037,Gateshead,390,Secondary,FSM Not eligible,474359,7583,481942,49619,29445,20174,11052,531561,228418,235448,463866,10493,22513,1736,2,0,2,58,2392,2742,5357,1164,44,393,1775,14,700,559,18587,328,0,90.66541752,9.334582484,5.539345437,3.795237047,4.235261804,0.326585284,0.131687614,3.496682413,0.105161966,0.061705054,0.00037625,0,0.00037625,0.010911259,0.449995391,0.515839198,0,32.58058955,202223
202223,Spring term,Local authority,E92000001,England,E12000006,East of England,E06000055,Bedford,822,Special,FSM Not eligible,36554,258,36812,3344,2838,506,230,40156,18292,18066,36358,196,1887,253,0,0,0,138,71,476,104,0,0,0,154,0,104,34,361,7,13,91.67247734,8.327522662,7.067436996,1.260085666,4.699173224,0.630042833,0.258989939,0.898993924,0.084669788,0.017432015,0,0,0,0.343659727,0.176810439,1.18537703,0.032373742,27.01949861,202223
202223,Spring term,Local authority,E92000001,England,E12000002,North West,E08000011,Knowsley,340,Primary,FSM eligible,356745,1269,358014,35271,17428,17843,14863,393285,164227,178587,342814,13931,15151,895,38,0,8,2,208,1126,688,910,0,17,563,1,1402,932,14587,922,0,91.03169457,8.968305427,4.431391993,4.536913434,3.852422543,0.227570337,0.356484483,3.709015091,0.236978273,0.234435587,0.009662204,0,0.002034148,0.000508537,0.052887855,0.286306368,0,33.46175014,202223
202223,Spring term,Local authority,E92000001,England,E12000005,West Midlands,E06000019,"Herefordshire, County of",884,Special,FSM eligible,15524,313,15837,2294,1869,425,224,18131,7671,7781,15452,72,997,164,0,0,0,44,27,637,227,0,2,0,72,12,14,152,259,0,0,87.34763664,12.65236336,10.30831173,2.344051624,5.49886934,0.904528156,0.077215818,1.428492637,0.838343169,0,0,0,0,0.242678286,0.148916221,3.513319729,0,40,202223
202223,Spring term,Local authority,E92000001,England,E12000008,South East,E06000037,West Berkshire,869,Secondary,FSM Not eligible,926895,7860,934755,66570,51511,15059,22558,1001325,450114,455516,905630,21265,37423,4192,24,1,0,279,2415,7161,3227,2617,198,1249,2815,371,1433,1293,11999,334,16,93.35180885,6.648191147,5.144283824,1.503907323,3.737348014,0.418645295,0.143110379,1.198312236,0.129128904,0.033355804,0.002396824,9.99E-05,0,0.027863081,0.241180436,0.715152423,0.001597883,17.7224736,202223
202223,Spring term,Local authority,E92000001,England,E12000009,South West,E06000023,"Bristol, City of",801,Special,FSM eligible,40788,1575,42363,8535,4951,3584,742,50898,19959,20324,40283,505,2820,354,8,0,0,98,46,1625,1402,50,0,0,127,46,52,237,3086,209,0,83.23116822,16.76883178,9.727297733,7.041534048,5.54049275,0.695508664,0.102165115,6.063106605,0.465637157,0.410625172,0.01571771,0,0,0.192541947,0.090376832,3.192659829,0,45.31914894,202223
202223,Spring term,Local authority,E92000001,England,E12000007,London,E09000025,Newham,316,Primary,FSM Not eligible,1597962,13233,1611195,109195,63855,45340,20930,1720390,781558,796921,1578479,19483,55934,3310,75,0,0,612,50,3670,1722,143,216,800,10495,0,16033,1447,26511,1349,204,93.65289266,6.347107342,3.711658403,2.635448939,3.251239545,0.192398235,0.931939851,1.540987799,0.084108836,0.078412453,0.004359477,0,0,0.035573329,0.002906318,0.213323723,0.011857776,19.72318339,202223
202223,Spring term,Local authority,E92000001,England,E12000006,East of England,E10000012,Essex,881,Secondary,FSM Not eligible,4117498,50825,4168323,313022,218014,95008,142702,4481345,1958377,2019672,3978049,139449,165931,15635,48,60,87,634,9702,25907,17833,23936,800,4319,15995,11878,7620,3253,82418,1717,10,93.01499885,6.985001155,4.864923366,2.120077789,3.702705326,0.348890791,0.170038236,1.839135349,0.072589814,0.03831439,0.001071107,0.001338884,0.001941381,0.014147538,0.216497502,0.578107689,0.000223147,18.5133649,202223
202223,Spring term,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000065,North Yorkshire,815,Special,FSM eligible,26100,402,26502,5159,3990,1169,162,31661,13006,12939,25945,155,1949,418,2,0,0,17,0,1604,254,2,0,5,141,2,64,7,1078,20,0,83.7055052,16.2944948,12.60225514,3.692239664,6.155838413,1.320236253,0.202141436,3.40481981,0.02210922,0.063169199,0.00631692,0,0,0.053693819,0,5.066169736,0,42.80821918,202223
202223,Spring term,Local authority,E92000001,England,E12000004,East Midlands,E10000024,Nottinghamshire,891,Secondary,FSM eligible,733286,15141,748427,141119,70819,70300,32994,889546,343897,358860,702757,30529,36451,4120,1,0,0,36,10206,19973,11833,5847,198,252,2740,118,1485,2465,64230,2120,32,84.13584008,15.86415992,7.961252144,7.902907775,4.097708269,0.463157611,0.16693909,7.220537218,0.277107648,0.238323819,0.000112417,0,0,0.004047008,1.147326839,2.24530266,0.003597341,42.10709318,202223
202223,Spring term,Local authority,E92000001,England,E12000008,South East,E06000046,Isle of Wight,921,Special,FSM Not eligible,11414,49,11463,1254,1088,166,139,12717,5606,5728,11334,80,779,109,0,0,0,8,4,188,23,0,2,1,23,0,28,59,70,9,0,90.13918377,9.86081623,8.555476921,1.30533931,6.125658567,0.85712039,0.220177715,0.550444287,0.463945899,0.070771408,0,0,0,0.062907919,0.031453959,1.478336086,0,27.27272727,202223
