time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,la_name,old_la_code,school_type,gender,present_sessions,approved_educational_activity,overall_attendance,overall_absence,authorised_absence,unauthorised_absence,late_sessions,possible_sessions,reason_present_am,reason_present_pm,reason_present,reason_l_present_late_before_registers_closed,reason_i_authorised_illness,reason_m_authorised_medical_dental,reason_r_authorised_religious_observance,reason_s_authorised_study_leave,reason_t_authorised_grt_absence,reason_h_authorised_holiday,reason_e_authorised_excluded,reason_c_authorised_other,reason_b_aea_education_off_site,reason_d_aea_dual_registration,reason_j_aea_interview,reason_p_aea_approved_sporting_activity,reason_v_aea_educational_visit_trip,reason_w_aea_work_experience,reason_g_unauthorised_holiday,reason_u_unauthorised_late_after_registers_closed,reason_o_other_unauthorised,reason_n_no_reason_yet,reason_x_not_attending_covid_non_compulsory,attendance_perc,overall_absence_perc,authorised_absence_perc,unauthorised_absence_perc,illness_perc,appointments_perc,unauth_hol_perc,unauth_oth_perc,unauth_late_registers_closed_perc,unauth_not_yet_perc,auth_religious_perc,auth_study_perc,auth_grt_perc,auth_holiday_perc,auth_excluded_perc,auth_other_perc,covid_non_compulsory_perc,pa_perc,academic_year
202223,Spring term,Local authority,E92000001,England,E12000002,North West,E08000014,Sefton,343,Primary,Male,972495,5842,978337,56412,42617,13795,13120,1034749,475063,485825,960888,11607,36254,2965,28,0,116,394,143,2717,1410,1323,11,659,3762,0,3621,1513,7550,1111,0,94.5482431,5.451756899,4.118583347,1.333173552,3.50365161,0.28654292,0.349939937,0.729645547,0.146219035,0.107369033,0.00270597,0,0.011210448,0.038076867,0.013819777,0.262575755,0,17.192544,202223
202223,Spring term,Local authority,E92000001,England,E12000009,South West,E06000052,Cornwall,908,Secondary,Male,1385911,19057,1404968,142843,95596,47247,46717,1547811,661106,681011,1342117,43794,69996,6216,93,6,6,425,6333,12521,6729,7506,658,2187,5640,3843,4889,2923,36748,2687,0,90.77128926,9.228710741,6.176206268,3.052504472,4.522257562,0.40159942,0.315865438,2.374191681,0.188847346,0.173600007,0.006008486,0.000387644,0.000387644,0.027458133,0.409158483,0.808948896,0,27.35149373,202223
202223,Spring term,Local authority,E92000001,England,E12000008,South East,E06000035,Medway,887,Secondary,Male,551928,10346,562274,51723,31819,19904,25722,613997,257845,269870,527715,24213,21776,2086,61,263,24,56,4186,3239,3516,2586,229,1220,1671,3710,653,1509,16908,834,128,91.57601747,8.423982528,5.182272878,3.24170965,3.546597133,0.339741074,0.106352311,2.753759383,0.245766673,0.135831283,0.009934902,0.042834086,0.003908814,0.009120566,0.681762289,0.527527007,0.020847007,24.72462295,202223
202223,Spring term,Local authority,E92000001,England,E12000005,West Midlands,E10000034,Worcestershire,885,Special,Female,27267,322,27589,3555,3003,552,490,31144,13259,13563,26822,445,1869,335,0,0,0,21,18,759,112,86,4,54,152,0,62,45,429,16,1,88.58528127,11.41471873,9.642306704,1.772412022,6.001155921,1.0756486,0.199075263,1.377472386,0.14449011,0.051374261,0,0,0,0.067428718,0.057796044,2.43706653,0.003210891,34.15492958,202223
202223,Spring term,Local authority,E92000001,England,E12000007,London,E09000023,Lewisham,209,Secondary,Male,466639,7273,473912,38175,17036,21139,20937,512087,217046,230312,447358,19281,12563,1117,17,0,1,83,1248,2001,2104,3254,113,465,2399,2192,1326,1656,17344,813,6,92.54521204,7.454787956,3.326778458,4.128009498,2.453294069,0.218126998,0.258940375,3.386924487,0.32338255,0.158762085,0.003319748,0,0.000195279,0.016208183,0.243708589,0.390753915,0.001171676,22.37196765,202223
202223,Spring term,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000017,Doncaster,371,Secondary,Female,613859,7052,620911,71180,32519,38661,21323,692091,290677,303636,594313,19546,22397,1539,12,1,131,25,5170,3244,3878,7850,112,86,2011,965,1700,1777,31711,3473,0,89.71522531,10.28477469,4.698659569,5.586115121,3.236135133,0.222369602,0.245632439,4.581911916,0.256758143,0.501812623,0.001733876,0.00014449,0.018928147,0.003612242,0.747011592,0.468724489,0,28.92461702,202223
202223,Spring term,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000036,Wakefield,384,Secondary,Male,1002290,16558,1018848,88019,53779,34240,31578,1106867,477751,494107,971858,30432,36744,2757,4,1,1,174,5810,8288,11837,5632,137,949,3591,44,2682,1146,29589,823,0,92.04791542,7.952084577,4.858668657,3.093415921,3.319640029,0.249081416,0.242305534,2.673220902,0.103535474,0.07435401,0.00036138,9.03E-05,9.03E-05,0.015720046,0.52490498,0.748780115,0,22.00097135,202223
202223,Spring term,Local authority,E92000001,England,E12000007,London,E09000004,Bexley,303,Primary,Male,793292,7293,800585,49380,35034,14346,11559,849965,387413,395385,782798,10494,30438,2578,63,2,21,149,258,1443,2288,751,27,144,4834,0,2898,1065,9624,759,82,94.19034901,5.809650986,4.121816781,1.687834205,3.581088633,0.303306607,0.340955216,1.132281917,0.125299277,0.089297795,0.00741207,0.000235304,0.00247069,0.017530134,0.030354191,0.169771696,0.009647456,18.45380264,202223
202223,Spring term,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000019,Sheffield,373,Special,Female,26326,448,26774,6569,5727,842,101,33343,13274,12957,26231,95,2249,497,0,0,0,68,48,2865,397,1225,0,7,34,10,94,6,692,50,0,80.29871337,19.70128663,17.17601895,2.525267672,6.745043937,1.490567735,0.281918244,2.075398135,0.017994782,0.149956513,0,0,0,0.203940857,0.143958252,8.592508173,0,41.12903226,202223
202223,Spring term,Local authority,E92000001,England,E12000001,North East,E06000001,Hartlepool,805,Special,Male,16476,56,16532,1524,1211,313,136,18056,8106,8260,16366,110,933,135,0,0,0,29,5,109,54,44,0,2,0,0,2,26,284,1,0,91.55959238,8.440407621,6.70691183,1.733495791,5.167257421,0.747673903,0.01107665,1.57288436,0.143996455,0.005538325,0,0,0,0.160611431,0.027691626,0.603677448,0,27.87878788,202223
