time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,la_name,old_la_code,school_type,gender,present_sessions,approved_educational_activity,overall_attendance,overall_absence,authorised_absence,unauthorised_absence,late_sessions,possible_sessions,reason_present_am,reason_present_pm,reason_present,reason_l_present_late_before_registers_closed,reason_i_authorised_illness,reason_m_authorised_medical_dental,reason_r_authorised_religious_observance,reason_s_authorised_study_leave,reason_t_authorised_grt_absence,reason_h_authorised_holiday,reason_e_authorised_excluded,reason_c_authorised_other,reason_b_aea_education_off_site,reason_d_aea_dual_registration,reason_j_aea_interview,reason_p_aea_approved_sporting_activity,reason_v_aea_educational_visit_trip,reason_w_aea_work_experience,reason_g_unauthorised_holiday,reason_u_unauthorised_late_after_registers_closed,reason_o_other_unauthorised,reason_n_no_reason_yet,reason_x_not_attending_covid_non_compulsory,attendance_perc,overall_absence_perc,authorised_absence_perc,unauthorised_absence_perc,illness_perc,appointments_perc,unauth_hol_perc,unauth_oth_perc,unauth_late_registers_closed_perc,unauth_not_yet_perc,auth_religious_perc,auth_study_perc,auth_grt_perc,auth_holiday_perc,auth_excluded_perc,auth_other_perc,covid_non_compulsory_perc,pa_perc,academic_year
202223,Autumn term,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000035,Leeds,383,Primary,Female,2992032,21287,3013319,197233,138480,58753,41511,3210552,1462319,1492851,2955170,36862,122838,6448,131,0,2,1413,154,7401,3798,273,35,1103,16350,1,19729,4649,31352,3023,93,93.8567262,6.143273805,4.313276969,1.829996835,3.826071031,0.200837738,0.61450492,0.976529893,0.14480376,0.094158263,0.004080295,0,6.23E-05,0.044011123,0.004796683,0.230521107,0.002896698,19.90839695,202223
202223,Autumn term,Local authority,E92000001,England,E12000009,South West,E06000022,Bath and North East Somerset,800,Secondary,Female,257367,2014,259381,29604,21691,7913,9468,288985,122376,126396,248772,8595,17552,1442,2,0,2,67,460,2140,310,4647,31,370,1299,4,516,873,6118,406,26,89.75586968,10.24413032,7.505925913,2.738204405,6.073671644,0.498987837,0.17855598,2.1170649,0.302091804,0.140491721,0.000692077,0,0.000692077,0.023184594,0.159177812,0.740522865,0.008997007,31.80672269,202223
202223,Autumn term,Local authority,E92000001,England,E12000008,South East,E06000039,Slough,871,Primary,Male,802152,4157,806309,68494,53754,14740,10446,874803,392316,399833,792149,10003,47542,1565,55,55,76,501,121,3110,1266,83,1,330,2560,0,5904,443,6373,2020,729,92.1703515,7.829648504,6.144697721,1.684950783,5.434594989,0.17889742,0.674894805,0.728506875,0.050639973,0.23090913,0.00628713,0.00628713,0.00868767,0.057270037,0.013831686,0.355508612,0.083333048,28.78391406,202223
202223,Autumn term,Local authority,E92000001,England,E12000001,North East,E08000024,Sunderland,394,Special,Female,18778,350,19128,3041,2091,950,156,22169,9272,9363,18635,143,1466,146,0,0,0,42,66,371,347,0,0,0,3,0,148,13,781,8,0,86.28264694,13.71735306,9.432089855,4.285263205,6.612837746,0.658577293,0.667598899,3.522937435,0.058640444,0.036086427,0,0,0,0.189453742,0.297713023,1.673508052,0,42.69662921,202223
202223,Autumn term,Local authority,E92000001,England,E12000004,East Midlands,E10000018,Leicestershire,855,Secondary,Female,1920345,21844,1942189,201116,147634,53482,47866,2143305,929026,946381,1875407,44938,119402,9021,339,8,457,307,3171,14737,8256,3883,229,1471,10951,937,4895,2928,43085,2574,192,90.61654781,9.383452192,6.888147044,2.495305148,5.570929009,0.420892034,0.228385601,2.010213199,0.136611448,0.1200949,0.015816694,0.000373255,0.02132221,0.014323673,0.147949079,0.687582962,0.008958128,28.52783272,202223
202223,Autumn term,Local authority,E92000001,England,E12000002,North West,E08000002,Bury,351,Special,Male,28965,217,29182,3473,3039,434,395,32655,14176,14600,28776,189,2222,306,14,0,0,92,31,374,183,0,0,0,34,0,80,206,148,0,0,89.36456898,10.63543102,9.306384933,1.329046088,6.804470985,0.937069362,0.244985454,0.45322309,0.630837544,0,0.042872454,0,0,0.281733272,0.094931863,1.145306997,0,36.36363636,202223
202223,Autumn term,Local authority,E92000001,England,E12000008,South East,E06000044,Portsmouth,851,Primary,Female,836896,4765,841661,56077,42449,13628,10930,897738,409446,417872,827318,9578,38088,1593,71,0,0,805,34,1848,226,818,5,235,4299,0,4613,1352,7298,365,10,93.75352274,6.246477257,4.728439701,1.518037557,4.242663227,0.177445981,0.513847024,0.812932058,0.150600732,0.040657742,0.007908766,0,0,0.089669815,0.003787297,0.205850705,0.001113911,21.15259529,202223
202223,Autumn term,Local authority,E92000001,England,E12000001,North East,E06000004,Stockton-on-Tees,808,Secondary,Female,770397,8430,778827,88160,51359,36801,24430,866987,368415,378336,746751,23646,42362,2462,13,0,0,269,2596,3657,3982,2356,2,625,3815,6,4230,784,31254,533,0,89.83145076,10.16854924,5.923848916,4.244700324,4.886117093,0.283971963,0.487896589,3.604898343,0.090428115,0.061477277,0.001499446,0,0,0.031026993,0.299427788,0.421805633,0,32.28446451,202223
202223,Autumn term,Local authority,E92000001,England,E12000002,North West,E06000049,Cheshire East,895,Secondary,Female,994987,14417,1009404,104841,80430,24411,23477,1114245,476981,496688,973669,21318,66043,5006,3,1,0,383,1381,7609,4522,2046,33,1457,7929,476,2178,2159,17781,2293,4,90.59084851,9.409151488,7.21834067,2.190810818,5.927152466,0.449272826,0.195468681,1.595789077,0.19376349,0.205789571,0.000269241,8.97E-05,0,0.034373051,0.123940426,0.682883926,0.000358987,30.81358775,202223
202223,Autumn term,Local authority,E92000001,England,E12000006,East of England,E10000029,Suffolk,935,Special,Female,38715,257,38972,5923,4329,1594,839,44895,18890,19034,37924,791,2812,487,3,0,0,130,9,888,174,50,2,11,70,0,134,48,1337,75,0,86.8069941,13.1930059,9.642499165,3.550506738,6.263503731,1.084753313,0.298474218,2.978059918,0.106916138,0.167056465,0.006682259,0,0,0.289564539,0.020046776,1.977948547,0,39.67391304,202223
